Wall time,Step,Value
1691129382.203028,16000,0.16200000047683716
1691129533.900955,72000,0.25040000677108765
1691129773.207226,160000,0.30640000104904175
1691129849.576961,188000,0.31189998984336853
1691130015.71199,248000,0.33399999141693115
1691130026.832819,252000,0.3361000120639801
1691130115.919475,284000,0.3490000069141388
1691130182.350807,308000,0.35260000824928284
1691130237.797143,328000,0.36039999127388
1691130315.77964,356000,0.36329999566078186
1691130472.894252,412000,0.3702000081539154
1691130518.023439,428000,0.37599998712539673
1691130676.013569,484000,0.3840000033378601
1691130754.936507,512000,0.38690000772476196
1691130777.511402,520000,0.38440001010894775
1691131083.230748,628000,0.39309999346733093
1691131117.348022,640000,0.39329999685287476
1691131140.025843,648000,0.39430001378059387
1691131162.634388,656000,0.39489999413490295
1691131253.011295,688000,0.39879998564720154
1691131468.811646,764000,0.40220001339912415
1691131605.273086,812000,0.4027999937534332
1691131628.025504,820000,0.40450000762939453
1691131900.628583,916000,0.4090999960899353
1691132072.644804,976000,0.40630000829696655
1691132084.12961,980000,0.4068000018596649
1691132245.441439,1036000,0.41029998660087585
1691132383.938904,1084000,0.4122999906539917
1691132418.584243,1096000,0.41100001335144043
1691132510.880321,1128000,0.41359999775886536
1691132545.492237,1140000,0.415800005197525
1691132660.381849,1180000,0.41530001163482666
1691132904.324689,1264000,0.4147000014781952
1691132939.118102,1276000,0.415800005197525
1691132973.890591,1288000,0.41609999537467957
1691133251.70803,1384000,0.41200000047683716
1691133391.625984,1432000,0.4180000126361847
1691133461.650358,1456000,0.4189999997615814
1691133485.152621,1464000,0.4178999960422516
1691133625.984566,1512000,0.41990000009536743
1691133719.8138,1544000,0.4205999970436096
1691133766.497657,1560000,0.4219000041484833
1691133906.714777,1608000,0.4214000105857849
1691134058.403161,1660000,0.42289999127388
1691134139.81391,1688000,0.4205000102519989
1691134301.481538,1744000,0.4228000044822693
1691134313.138994,1748000,0.4239000082015991
1691134336.486641,1756000,0.4185999929904938
1691134418.086411,1784000,0.4239000082015991
1691134593.097624,1844000,0.426800012588501
1691134639.981443,1860000,0.4262999892234802
1691134757.147164,1900000,0.4300999939441681
1691134815.519664,1920000,0.43050000071525574
1691134827.204318,1924000,0.43309998512268066
1691134897.370377,1948000,0.43070000410079956
1691135166.027887,2040000,0.43320000171661377
1691135189.587401,2048000,0.43459999561309814
1691135201.379953,2052000,0.43309998512268066
1691135248.336368,2068000,0.43369999527931213
1691135436.472892,2132000,0.43479999899864197
1691135495.75976,2152000,0.4293000102043152
1691135519.363042,2160000,0.4309999942779541
1691135661.421178,2208000,0.4336000084877014
1691135708.852932,2224000,0.43720000982284546
1691135780.105247,2248000,0.43709999322891235
1691136113.929631,2360000,0.43790000677108765
1691136161.79593,2376000,0.44209998846054077
1691136185.753253,2384000,0.43880000710487366
1691136570.168489,2512000,0.4422999918460846
1691136582.232558,2516000,0.4431999921798706
1691136678.708252,2548000,0.4424999952316284
1691136751.084111,2572000,0.44440001249313354
1691136763.165073,2576000,0.4408999979496002
1691136932.087129,2632000,0.4410000145435333
1691137040.859822,2668000,0.4406000077724457
1691137137.854632,2700000,0.4465999901294708
1691137368.801951,2776000,0.44449999928474426
1691137696.897716,2884000,0.44510000944137573
1691137745.3676,2900000,0.44510000944137573
1691137976.571507,2976000,0.4433000087738037
1691138219.972127,3056000,0.44609999656677246
1691138354.31976,3100000,0.4487999975681305
1691138366.49001,3104000,0.44920000433921814
1691138440.068664,3128000,0.44670000672340393
1691138513.820171,3152000,0.4503999948501587
1691138710.464721,3216000,0.4480000138282776
1691138722.753435,3220000,0.44769999384880066
1691138747.297649,3228000,0.44780001044273376
1691138894.67298,3276000,0.4521999955177307
1691139055.018254,3328000,0.45179998874664307
1691139364.693189,3428000,0.4530999958515167
1691139476.075801,3464000,0.4507000148296356
1691139537.90103,3484000,0.4514999985694885
1691139723.729405,3544000,0.453000009059906
1691139859.965815,3588000,0.4544000029563904
1691139909.621658,3604000,0.4519999921321869
1691140271.254433,3720000,0.4575999975204468
1691140421.023691,3768000,0.4510999917984009
1691140507.71276,3796000,0.45329999923706055
1691141130.368817,3996000,0.4551999866962433
1691141168.05262,4008000,0.4553999900817871
1691141192.708211,4016000,0.4553000032901764
1691141329.773022,4060000,0.4578999876976013
1691141417.404156,4088000,0.45730000734329224
1691141467.835289,4104000,0.45590001344680786
1691141492.900095,4112000,0.45509999990463257
1691141605.459612,4148000,0.4546999931335449
